t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816564.9641212411,-3019405.809204041,23816487935.484894,1648578599234380.0,292909245177804.7,1.5623840701749605e+20,317588587506.86566,3623981510652604.0,1.562384070413133e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797203.1490238048,-3013121.7400950054,23816466003.058067,1209407435033074.5,302713270605030.0,1.5623686551681915e+20,232984948867.77878,3745073999769276.5,1.562368655406357e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780329.1056349551,-3007568.86707809,23816518976.719948,903779288658016.1,307668205339110.5,1.5623707472993223e+20,174107555381.89212,3806303627628003.0,1.562370747537485e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-764991.2721984107,-3002488.564439572,23816560985.247494,687259611018336.5,309215251331590.3,1.562372507205306e+20,132396363279.22656,3825475973054695.0,1.5623725074434746e+20,687392007381616.6,4134691224386300.5
642954.24,-923865244829.8557,-721121211739.9652,-17993890380343.258,3.0087974954975972e+16,1.191759565502125e+16,7333662576681772.0,1.5253080974894367e+20,313757926295.86707,45035649769927.586,1.5256089772389794e+20,1.1917909412947568e+16,7378698226451697.0
857945.088,-747952545574.8778,-472543583018.57416,-9482323673510.219,2.9378789079562104e+16,9540955858397984.0,5921378781054439.0,1.5021775223879487e+20,251187455905.47592,36362929947575.98,1.5024713102787484e+20,9541207045853894.0,5957741711002034.0
1115934.1056,-640577195291.662,-450630711848.5704,-6837808787508.674,2.8802098664121812e+16,8182705074552448.0,5073727760345854.0,1.4816705879687892e+20,215428401901.36877,31157563245275.652,1.4819586089554326e+20,8182920502954352.0,5104885323591142.0
1425520.9267199999,-565816208535.4656,-502278698694.9748,-5456040470659.502,2.8272761941612416e+16,7232430430136874.0,4482544766990164.5,1.4614322889538265e+20,190410251477.71744,27527144505065.54,1.4617150165732557e+20,7232620840388367.0,4510071911495237.0
1797025.1120639998,-507824403328.38135,-627401015927.7096,-4567646867713.215,2.7751215423877016e+16,6493304895238124.0,4023505644542300.5,1.4402070601965617e+20,170951083582.902,24708210619526.29,1.4404845723508038e+20,6493475846321703.0,4048213855161826.5
2242830.1344767995,-459994481079.6242,-840541385545.027,-3933944498601.857,2.7207578088332456e+16,5882842167596079.0,3644711963722421.5,1.4168316072202502e+20,154879257933.48138,22382057852244.543,1.4171036830011204e+20,5882997046854010.0,3667094021574677.0
2777796.161372159,-418940359564.2035,-1145857025142.3691,-3455707504404.8857,2.6611314491336772e+16,5358421681963594.0,3319486231531627.5,1.3899315244551542e+20,141072690813.58038,20384861919739.508,1.390197637600074e+20,5358562754654426.0,3339871093451368.5
3419755.393646591,-382646892972.7323,-1524216403208.5889,-3084953922095.4136,2.5928000481703536e+16,4894563348768244.0,3031925731486076.5,1.3578411638116444e+20,128860560673.30595,18618965478935.875,1.3581004438164577e+20,4894692209328931.0,3050544696965012.5
4190106.472375909,-349774276822.094,-1932103610097.6768,-2795631185933.629,2.5119997095152324e+16,4474277620639923.5,2771446475699036.0,1.318678321418886e+20,117795578876.30486,17019373033052.361,1.3189295213898339e+20,4474395416218809.5,2788465848732085.0
